,person_id,id,name,role
3404,58277,tm78340,Raoul Walsh,DIRECTOR
3427,53489,tm65174,David Butler,DIRECTOR
3457,69206,tm3635,Ted Wilde,DIRECTOR
3471,134304,tm114969,Busby Berkeley,DIRECTOR
3472,103529,tm114969,Norman Taurog,DIRECTOR
3498,14797,tm62600,Michael Curtiz,DIRECTOR
3522,38881,tm116695,Fred M. Wilcox,DIRECTOR
3523,138494,tm87794,Kenji Mizoguchi,DIRECTOR
3543,106317,tm6170,Mark Sandrich,DIRECTOR
3574,25637,tm176,John Ford,DIRECTOR
3628,21175,tm18963,Cecil B. DeMille,DIRECTOR
3655,55260,tm154660,Zoltan Korda,DIRECTOR
3669,28661,tm143808,Ernest B. Schoedsack,DIRECTOR
3678,106013,tm102887,Yasujirō Ozu,DIRECTOR
3702,36601,tm161348,John Farrow,DIRECTOR
3718,105928,tm106289,William Dieterle,DIRECTOR
3730,21759,tm257,Charlie Chaplin,DIRECTOR
3741,105986,tm41039,Robert Siodmak,DIRECTOR
3742,102596,tm41039,Edgar G. Ulmer,DIRECTOR
3826,128933,tm90095,Irving Rapper,DIRECTOR
3831,120559,tm72458,Georges Méliès,DIRECTOR
3884,72302,tm115944,Alexander Korda,DIRECTOR
3985,14797,tm4161,Michael Curtiz,DIRECTOR
4001,96197,tm87157,Peter Godfrey,DIRECTOR
4012,119201,tm142928,Dudley Murphy,DIRECTOR
4022,69206,tm19202,Ted Wilde,DIRECTOR
4044,14797,tm105203,Michael Curtiz,DIRECTOR
4060,124720,tm42140,G.W. Pabst,DIRECTOR
4067,60744,tm129771,Sam Taylor,DIRECTOR
4110,98832,tm157195,Edward Buzzell,DIRECTOR
4120,132359,tm18358,Compton Bennett,DIRECTOR
4150,43887,tm67506,Samuel Fuller,DIRECTOR
4203,29634,tm156678,William Keighley,DIRECTOR
4230,58277,tm14958,Raoul Walsh,DIRECTOR
4259,21759,tm1212,Charlie Chaplin,DIRECTOR
4272,105243,tm88229,Phil Karlson,DIRECTOR
4287,21759,tm123253,Charlie Chaplin,DIRECTOR
